,HUMIDITY,LIGHT_INTENSITY,LPG_CONCENTRATION,TEMPERATURE,MOTOR,SMOKE,BATTERY_VOLTAGE,CARBON_MONOXIDE,TIMESTAMP
267,{'S': '49.3395'},{'S': '29.8462'},{'S': '0'},{'S': '36.9083'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1882'},{'S': '0'},"{'S': '05/15/2023, 17:17:53'}"
268,{'S': '49.3082'},{'S': '21.87'},{'S': '0'},{'S': '36.7158'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.4996'},{'S': '0'},"{'S': '05/15/2023, 15:24:13'}"
269,{'S': '49.8426'},{'S': '19.7732'},{'S': '0'},{'S': '36.9511'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3252'},{'S': '0'},"{'S': '05/15/2023, 16:39:33'}"
270,{'S': '49.7722'},{'S': '30.8071'},{'S': '0'},{'S': '36.3948'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5169'},{'S': '0'},"{'S': '05/15/2023, 15:36:25'}"
271,{'S': '50.2676'},{'S': '41.8589'},{'S': '0'},{'S': '36.6355'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.2482'},{'S': '0'},"{'S': '05/15/2023, 16:37:01'}"
272,{'S': '49.256'},{'S': '19.8146'},{'S': '0'},{'S': '37.0688'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3031'},{'S': '0'},"{'S': '05/15/2023, 16:43:29'}"
273,{'S': '49.3473'},{'S': '21.6368'},{'S': '0'},{'S': '37.0902'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3021'},{'S': '0'},"{'S': '05/15/2023, 16:43:29'}"
274,{'S': '50.1529'},{'S': '17.9233'},{'S': '0'},{'S': '36.8816'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.4563'},{'S': '0'},"{'S': '05/15/2023, 15:42:22'}"
275,{'S': '49.243'},{'S': '25.4506'},{'S': '0'},{'S': '36.903'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1692'},{'S': '0'},"{'S': '05/15/2023, 17:21:28'}"
276,{'S': '50.497'},{'S': '21.2971'},{'S': '0'},{'S': '36.2717'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.4236'},{'S': '0'},"{'S': '05/15/2023, 15:34:41'}"
277,{'S': '50.119'},{'S': '36.5269'},{'S': '0'},{'S': '36.5927'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.502'},{'S': '0'},"{'S': '05/15/2023, 15:38:46'}"
278,{'S': '52.5096'},{'S': '113.692'},{'S': '0'},{'S': '36.3734'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.562'},{'S': '0'},"{'S': '05/15/2023, 15:11:30'}"
279,{'S': '50.4188'},{'S': '24.2636'},{'S': '0'},{'S': '36.261'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.445'},{'S': '0'},"{'S': '05/15/2023, 15:35:04'}"
280,{'S': '53.2448'},{'S': '27.0833'},{'S': '0'},{'S': '36.138'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5085'},{'S': '0'},"{'S': '05/15/2023, 15:06:48'}"
281,{'S': '49.535'},{'S': '24.6676'},{'S': '0'},{'S': '36.582'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5347'},{'S': '0'},"{'S': '05/15/2023, 15:38:23'}"
282,{'S': '49.2925'},{'S': '18.7461'},{'S': '0'},{'S': '36.7104'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5029'},{'S': '0'},"{'S': '05/15/2023, 15:24:05'}"
283,{'S': '50.5231'},{'S': '21.1411'},{'S': '0'},{'S': '36.2557'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.4364'},{'S': '0'},"{'S': '05/15/2023, 15:34:49'}"
284,{'S': '52.799'},{'S': '42.5999'},{'S': '0'},{'S': '36.1861'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5543'},{'S': '0'},"{'S': '05/15/2023, 15:08:02'}"
285,{'S': '50.1529'},{'S': '29.231'},{'S': '0'},{'S': '36.9404'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3048'},{'S': '0'},"{'S': '05/15/2023, 16:38:42'}"
286,{'S': '49.0892'},{'S': '29.6799'},{'S': '0'},{'S': '37.1437'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3422'},{'S': '0'},"{'S': '05/15/2023, 16:45:27'}"
287,{'S': '50.2754'},{'S': '21.095'},{'S': '0'},{'S': '36.78'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.4572'},{'S': '0'},"{'S': '05/15/2023, 15:40:35'}"
288,{'S': '50.1841'},{'S': '29.0148'},{'S': '0'},{'S': '36.5178'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.52'},{'S': '0'},"{'S': '05/15/2023, 15:38:38'}"
289,{'S': '49.1413'},{'S': '20.5539'},{'S': '-1'},{'S': '37.0421'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3163'},{'S': '-1'},"{'S': '05/15/2023, 16:42:19'}"
290,{'S': '48.8181'},{'S': '36.2049'},{'S': '-1'},{'S': '37.2186'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3645'},{'S': '-1'},"{'S': '05/15/2023, 16:48:00'}"
291,{'S': '49.1257'},{'S': '22.6325'},{'S': '0'},{'S': '37.1705'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3473'},{'S': '0'},"{'S': '05/15/2023, 16:45:46'}"
292,{'S': '52.7938'},{'S': '43.3242'},{'S': '0'},{'S': '36.2289'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5572'},{'S': '0'},"{'S': '05/15/2023, 15:08:39'}"
293,{'S': '49.2195'},{'S': '31.6552'},{'S': '0'},{'S': '36.8442'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.173'},{'S': '0'},"{'S': '05/15/2023, 17:20:06'}"
294,{'S': '52.5148'},{'S': '111.904'},{'S': '0'},{'S': '36.4162'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5612'},{'S': '0'},"{'S': '05/15/2023, 15:11:15'}"
295,{'S': '49.3342'},{'S': '31.3803'},{'S': '0'},{'S': '36.7051'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.4879'},{'S': '0'},"{'S': '05/15/2023, 15:24:20'}"
296,{'S': '49.0396'},{'S': '22.0801'},{'S': '0'},{'S': '37.1919'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3491'},{'S': '0'},"{'S': '05/15/2023, 16:46:16'}"
297,{'S': '49.4411'},{'S': '23.0605'},{'S': '0'},{'S': '36.6248'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5021'},{'S': '0'},"{'S': '05/15/2023, 15:23:36'}"
298,{'S': '49.011'},{'S': '24.9322'},{'S': '0'},{'S': '37.1651'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3523'},{'S': '0'},"{'S': '05/15/2023, 16:46:23'}"
299,{'S': '50.6534'},{'S': '22.8422'},{'S': '0'},{'S': '36.2182'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.4231'},{'S': '0'},"{'S': '05/15/2023, 15:34:27'}"
300,{'S': '49.17'},{'S': '26.9881'},{'S': '0'},{'S': '37.1705'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3453'},{'S': '0'},"{'S': '05/15/2023, 16:45:39'}"
301,{'S': '49.2065'},{'S': '29.4336'},{'S': '0'},{'S': '36.8869'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1649'},{'S': '0'},"{'S': '05/15/2023, 17:21:35'}"
302,{'S': '48.7894'},{'S': '36.9921'},{'S': '-1'},{'S': '37.2293'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3648'},{'S': '-1'},"{'S': '05/15/2023, 16:48:07'}"
303,{'S': '49.4646'},{'S': '23.4528'},{'S': '0'},{'S': '36.9565'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.179'},{'S': '0'},"{'S': '05/15/2023, 17:17:09'}"
304,{'S': '49.4698'},{'S': '31.925'},{'S': '0'},{'S': '36.6837'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.4997'},{'S': '0'},"{'S': '05/15/2023, 15:23:28'}"
305,{'S': '49.17'},{'S': '19.334'},{'S': '0'},{'S': '36.8495'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.154'},{'S': '0'},"{'S': '05/15/2023, 17:22:57'}"
